id,name,country_code,city,website,qs_rank,the_rank
ec470c46-0b0a-5251-afee-86a3eae7cb41,DeVry Institute of Technology,CA,,http://www.cal.devry.ca/,,
028a4d1a-3460-5935-b43f-2e13b177ac66,Dominican College of Philosophy and Theology,CA,,http://www.op.org/canada/college.htm,,
dae01626-caa9-5a2a-804f-24aad876bf9d,Douglas College,CA,,http://www.douglas.bc.ca/,,
0a8c338a-a314-5f06-ae05-a982b4f736f1,Durham College,CA,,https://durhamcollege.ca/,,
0fa224a2-7cca-5dec-98a8-fd9e2d969fc9,Emily Carr Institute of Art + Design,CA,,http://www.eciad.bc.ca/,,
ba0d1628-9307-5ca7-a8b8-875f64c379ad,Fanshawe College,CA,,https://www.fanshawec.ca/,,
f647ad17-46d5-5dc0-be15-9dcbcb1c9345,First Nations University of Canada,CA,,http://www.firstnationsuniversity.ca/,,
c3e52e15-f64b-5094-ab8c-e5af78c64e8a,George Brown College,CA,,http://www.gbrownc.on.ca/,,
4d980e39-92cb-5756-b252-addd6cf975c7,Georgian College,CA,,https://www.georgiancollege.ca/,,
697c16d2-d776-56a7-9206-8943975595a0,Humber College,CA,,http://www.humber.ca/,,
fb81f6d0-d6cb-5b8e-b8d7-5d4f70a25855,Huron University College,CA,,http://www.huronuc.on.ca/,,
f2e2b4a4-d5b4-5574-b25b-086f3dc35567,"Institut Armand-Frappier, Université du Québec",CA,,http://www.iaf.inrs.ca/,,
282629ae-9a88-5420-acb0-f2a3ca4c2d93,"Institut National de la Recherche Scientifique, Université du Québec",CA,,http://www.inrs.uquebec.ca/,,
17b4cdfb-c467-5634-9436-4e88f5a60eeb,King's University College,CA,,http://www.kingsu.ab.ca/,,
b9a7b583-208c-51b4-85ad-4826fdd25029,Kingston College,CA,,http://www.kingston.edu/,,
86e15055-95a6-59e2-98c5-ef3b16d06b77,Kwantleen University College,CA,,http://www.kwantlen.bc.ca/,,
22f967dc-ef37-58a9-9153-fefaeee79221,Lakehead University,CA,,http://www.lakeheadu.ca/,,
e18ece80-ee54-5f13-bef5-6c90fb243d1f,Lambton College,CA,,https://www.lambtoncollege.ca,,
30863cc9-4d1d-53d8-a935-7dcfcabd51dd,Langara College,CA,,http://www.langara.bc.ca/,,
e6ed0d6f-b819-5f1b-9906-ae9256c186cf,Lansbridge University,CA,,http://www.lansbridge.com/,,
9461d671-7982-515b-820c-e83e4da08832,Laurentian University of Sudbury,CA,,http://www.laurentian.ca/,,
0d2b7990-140c-5cd1-b94f-f574be9bfec6,Lethbridge College,CA,,https://lethbridgecollege.ca/,,
046f322d-1c17-58a6-b875-5bcdb8652515,Luther College,CA,,http://www.saskweb.com/luthercollege/,,
39916328-dfbc-5e10-8280-ceecf151e408,MacEwan University,CA,,http://www.macewan.ca/,,
d6327264-aac7-5686-b9b1-d058df89a69c,Malaspina University College,CA,,http://www.mala.bc.ca/,,
206045e1-09ac-5a38-9743-4d0cf3996a72,McGill University,CA,,http://www.mcgill.ca/,,
1c1e3e8b-c03f-5189-ab32-7518b8547773,McMaster University,CA,,http://www.mcmaster.ca/,,
35522673-4137-587d-afaa-7094e557e6cf,Memorial University of Newfoundland,CA,,http://www.ucs.mun.ca/,,
ea8fd6b9-bcd1-5d6d-a303-288b441a1a0b,Mohawk College,CA,,https://www.mohawkcollege.ca/,,
06310e3d-40b2-51a6-a3c5-4fb169ee1bb9,Mount Allison University,CA,,http://www.mta.ca/,,
